Matrix,Time,L1 DCM,L2 DCM,L1 ICM,L2 ICM,L2 DCA,L2 TCR,L2 TCW,TOT INS,
4096*4096,46.723680,27231854706,17896951843,8607,7148,6964167962,6817591014,288328330,481271508013,
6144*6144,164.034079,91632126433,67102385413,19357,18104,24303049673,23753090703,1060413640,1624026642852,
8192*8192,395.300712,216592882003,187269658812,45737,43698,57503877751,56027626068,2759080132,3849231076553,
10240*10240,776.959264,421060855482,477117659867,59786,58123,109268321516,106832268443,4283393806,7517662064997,
 
