Matrix,Time,L1 DCM,L2 DCM,L1 ICM,L2 ICM,L2 DCA,L2 TCR,L2 TCW,TOT INS,
600*600,0.195680,244773033,39179663,4259,3215,219165958,218805412,665386,1518191739,
1000*1000,1.087172,1225830672,308435821,2863,2239,1107866710,1106866123,1760384,7017081008,
1400*1400,3.398469,3468831517,1531241251,3820,3294,3148810244,3146846703,3100074,19241419377,
1800*1800,18.844946,9090208190,8861211770,13388,12750,8443272405,8440027451,3795328,40879207075,
2200*2200,40.280215,17642230535,24594482463,23738,23085,16414497930,16409653295,4111474,74618434092,
2600*2600,70.666520,30894274854,51461444957,36035,35270,28741257272,28734490906,3797798,123147104484,
3000*3000,117.141846,50316154861,95190540003,73710,72978,46764675872,46755668371,2572678,189153222443,
